"RelativePath","Lines","Headings","OpenCheckboxes","DecisionMarkers","PlaceholderMarkers","InitialStatus"
"01-business\BRANCHES.md","283","22","0","0","0","STRUCTURALLY_POPULATED"
"01-business\BUSINESS_MODEL.md","351","23","0","0","0","STRUCTURALLY_POPULATED"
"01-business\BUSINESS_OVERVIEW.md","302","32","0","0","0","STRUCTURALLY_POPULATED"
"01-business\BUSINESS_RULES.md","587","78","5","7","0","OPEN_DECISIONS"
"01-business\COMPANY_PROFILE.md","238","25","0","0","0","STRUCTURALLY_POPULATED"
"01-business\COMPETITOR_ANALYSIS.md","284","22","0","0","0","STRUCTURALLY_POPULATED"
"01-business\DELIVERY_POLICY.md","322","27","0","1","0","OPEN_DECISIONS"
"01-business\FRANCHISE_MODEL.md","371","30","0","0","0","STRUCTURALLY_POPULATED"
"01-business\LOYALTY_PROGRAM.md","369","34","0","0","0","STRUCTURALLY_POPULATED"
"01-business\PRICING_STRATEGY.md","357","31","0","6","0","OPEN_DECISIONS"
"01-business\SWOT_ANALYSIS.md","390","36","0","0","0","STRUCTURALLY_POPULATED"
"01-business\TARGET_AUDIENCE.md","318","38","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\AI\AI_PLATFORM_REQUIREMENTS.md","465","32","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Applications\ADMIN_PANEL_REQUIREMENTS.md","421","34","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Applications\KITCHEN_DASHBOARD_REQUIREMENTS.md","372","33","0","1","0","OPEN_DECISIONS"
"02-requirements\Applications\MOBILE_APP_REQUIREMENTS.md","381","30","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Applications\POS_REQUIREMENTS.md","417","33","0","1","0","OPEN_DECISIONS"
"02-requirements\Applications\RIDER_APP_REQUIREMENTS.md","293","23","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Applications\WEBSITE_REQUIREMENTS.md","402","34","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Business\CRM_REQUIREMENTS.md","346","27","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Business\FINANCE_REQUIREMENTS.md","396","31","0","1","0","OPEN_DECISIONS"
"02-requirements\Business\HR_REQUIREMENTS.md","407","30","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Business\REPORTING_REQUIREMENTS.md","401","33","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Core\REQUIREMENTS.md","420","30","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Operations\GOODS_RECEIVING_REQUIREMENTS.md","353","30","0","1","0","OPEN_DECISIONS"
"02-requirements\Operations\INVENTORY_REQUIREMENTS.md","401","30","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Operations\ORDER_MANAGEMENT_REQUIREMENTS.md","463","27","0","1","0","OPEN_DECISIONS"
"02-requirements\Operations\PURCHASE_REQUIREMENTS.md","403","29","0","3","0","OPEN_DECISIONS"
"02-requirements\Operations\STOCK_TRANSFER_REQUIREMENTS.md","402","30","0","2","0","OPEN_DECISIONS"
"02-requirements\Operations\SUPPLIER_MANAGEMENT_REQUIREMENTS.md","394","31","0","1","0","OPEN_DECISIONS"
"02-requirements\Operations\SUPPLIER_RETURN_REQUIREMENTS.md","374","29","0","2","0","OPEN_DECISIONS"
"02-requirements\Operations\WAREHOUSE_REQUIREMENTS.md","433","30","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Security\API_REQUIREMENTS.md","389","33","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Security\AUDIT_LOG_REQUIREMENTS.md","394","28","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Security\AUTHENTICATION_REQUIREMENTS.md","346","25","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Security\AUTHORIZATION_REQUIREMENTS.md","388","25","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Security\BACKUP_DISASTER_RECOVERY_REQUIREMENTS.md","372","27","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Security\NOTIFICATION_REQUIREMENTS.md","384","27","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Security\PAYMENT_GATEWAY_REQUIREMENTS.md","398","26","0","2","0","OPEN_DECISIONS"
"02-requirements\Security\SECURITY_REQUIREMENTS.md","390","27","0","0","0","STRUCTURALLY_POPULATED"
"02-requirements\Security\SETTINGS_REQUIREMENTS.md","386","33","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\AI_ARCHITECTURE.md","390","21","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\API_ARCHITECTURE.md","474","22","0","1","0","OPEN_DECISIONS"
"03-architecture\BRANCHING_STRATEGY.md","358","20","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\CI_CD_PIPELINE.md","329","25","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\CODING_STANDARDS.md","389","27","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\DATABASE_ARCHITECTURE.md","546","35","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\DATABASE_INDEX_STRATEGY.md","566","34","0","2","0","OPEN_DECISIONS"
"03-architecture\DATABASE_NAMING_CONVENTIONS.md","937","40","0","1","0","OPEN_DECISIONS"
"03-architecture\DATABASE_RELATIONSHIPS.md","1528","115","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\DATABASE_SCHEMA.md","2326","177","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\DEPLOYMENT_ARCHITECTURE.md","383","29","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\DEVOPS_ARCHITECTURE.md","307","20","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\DOMAIN_DRIVEN_DESIGN.md","595","43","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\EVENT_DRIVEN_ARCHITECTURE.md","373","22","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\FOLDER_STRUCTURE.md","351","21","0","1","0","OPEN_DECISIONS"
"03-architecture\GIT_STRATEGY.md","292","17","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\IMPLEMENTATION_ROADMAP.md","483","23","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\INFRASTRUCTURE_ARCHITECTURE.md","418","31","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\MICROSERVICES_ARCHITECTURE.md","583","40","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\MONITORING_ARCHITECTURE.md","351","21","0","1","0","OPEN_DECISIONS"
"03-architecture\SECURITY_ARCHITECTURE.md","369","24","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\SYSTEM_ARCHITECTURE.md","377","28","0","0","0","STRUCTURALLY_POPULATED"
"03-architecture\TECH_STACK.md","500","24","0","0","0","STRUCTURALLY_POPULATED"
