"RelativePath","LineNumber","Pattern","Text"
"01-business\BRANCHES.md","1","ðŸ","# ðŸª BRANCHES"
"01-business\BRANCHES.md","178","â€”","**Royal Orchard (verified):** 10:00 AM â€“ 2:30 AM, daily â€” confirmed via Google Business listing and Foodies Pakistan (July 2026). This replaces an earlier draft figure of 10:00 AMâ€“11:00 PM, which did not match verified data."
"01-business\BRANCHES.md","180","â€”","**Northern Bypass Road:** not yet confirmed â€” get real hours before this branch goes live in the system."
"01-business\BRANCHES.md","281","Â","Â© 2026 Telepizza Pakistan"
"01-business\BUSINESS_MODEL.md","1","ðŸ","# ðŸ’¼ BUSINESS MODEL"
"01-business\BUSINESS_MODEL.md","93","ðŸ","**ðŸŸ¢ Confirmed real (current menu categories, verified):**"
"01-business\BUSINESS_MODEL.md","98","Ã","- Drinks, shakes & frappÃ©s (a genuine strength per real reviews)"
"01-business\BUSINESS_MODEL.md","100","ðŸ","**ðŸŸ¡ Plausible near-term (not yet confirmed as active):**"
"01-business\BUSINESS_MODEL.md","102","â€”","- Delivery Charges â€” model not yet decided, see `DELIVERY_POLICY.md`"
"01-business\BUSINESS_MODEL.md","103","â€”","- Combo Deals â€” at least one real bundle observed (~Rs 1,899), full combo lineup unconfirmed"
"01-business\BUSINESS_MODEL.md","104","â€”","- Corporate Orders â€” no evidence yet this demand exists; validate before building for it"
"01-business\BUSINESS_MODEL.md","106","ðŸ","**ðŸ”´ Speculative / long-term only (no current basis, don't plan technical work around these yet):**"
"01-business\BUSINESS_MODEL.md","109","â€”","- Franchise Fees â€” see flag in `FRANCHISE_MODEL.md`, franchise intent itself is unconfirmed"
"01-business\BUSINESS_MODEL.md","349","Â","Â© 2026 Telepizza Pakistan"
"01-business\BUSINESS_OVERVIEW.md","1","ðŸ","# ðŸ• BUSINESS OVERVIEW"
"01-business\BUSINESS_OVERVIEW.md","20","â€”","âš ï¸ **Grounding note:** This document describes the full long-term platform scope (confirmed as the intended direction). For what's actually verified about Telepizza today â€” real hours, real ratings, real reviews, real competitors â€” see `business-overview.md` and `company-profile.md` from the Phase 2 research pass (2026-07-09). This document is the destination; those are the starting facts."
"01-business\BUSINESS_OVERVIEW.md","300","Â","Â© 2026 Telepizza Pakistan"
"01-business\BUSINESS_RULES.md","1","ðŸ","# ðŸ“– BUSINESS RULES"
"01-business\BUSINESS_RULES.md","22","â€”","âš ï¸ **Status note:** Most rules below are sound *system design* (how orders/branches/inventory should logically work) and don't need Telepizza's input â€” they're good defaults. A few (marked below) encode specific business decisions â€” like payment methods â€” that are still unconfirmed. Treat unmarked rules as reasonable system logic; treat marked ones as pending real decisions."
"01-business\BUSINESS_RULES.md","202","â€”","ðŸ“‹ **Founder working assumption (Mianx.ai decision, 2026-07-10) â€” not yet validated with Telepizza's actual operations.** If this platform is ever handed to Telepizza's real ownership, confirm this matches how they actually want to accept payment before launch."
"01-business\BUSINESS_RULES.md","206","â€”","- **Cash on Delivery** â€” primary method, matches current phone-order practice"
"01-business\BUSINESS_RULES.md","207","â€”","- **JazzCash** â€” low integration cost, dominant mobile wallet in Pakistan"
"01-business\BUSINESS_RULES.md","208","â€”","- **EasyPaisa** â€” same rationale as JazzCash, widely held alongside it"
"01-business\BUSINESS_RULES.md","212","â€”","- **Card payment** â€” adds payment gateway integration cost/complexity; not worth it until COD + wallets prove the order volume justifies it"
"01-business\BUSINESS_RULES.md","459","Â","Â© 2026 Telepizza Pakistan"
"01-business\COMPANY_PROFILE.md","1","ðŸ","# ðŸ¢ COMPANY PROFILE"
"01-business\COMPANY_PROFILE.md","37","â€”","| Business Model | Single branch operating, expanding to a 2nd branch (Northern Bypass Road, opening soon) â€” ""chain"" and franchise language elsewhere in this doc set describes the long-term direction, not the current state |"
"01-business\COMPANY_PROFILE.md","139","â€”","10:00 AM â€“ 2:30 AM, every day â€” confirmed via Google Business listing and Foodies Pakistan, as of July 2026."
"01-business\COMPANY_PROFILE.md","141","â€“","âš ï¸ Previous draft of this document listed 10:00 AM â€“ 11:00 PM, which does not match verified data. Corrected here."
"01-business\COMPANY_PROFILE.md","143","â€”","Northern Bypass Road Branch hours: not yet public â€” confirm before launch."
"01-business\COMPANY_PROFILE.md","236","Â","Â© 2026 Telepizza Pakistan"
"01-business\COMPETITOR_ANALYSIS.md","1","ðŸ","# ðŸ“Š COMPETITOR ANALYSIS"
"01-business\COMPETITOR_ANALYSIS.md","49","â€”","## Johnnyboy's Pizza â€” Direct Competitor"
"01-business\COMPETITOR_ANALYSIS.md","56","â€”","- Also markets an ""injected chicken"" pizza â€” direct product overlap with Telepizza's ""Injected Broast"""
"01-business\COMPETITOR_ANALYSIS.md","59","â€“","Weaknesses (from real recent reviews, late 2025â€“2026)"
"01-business\COMPETITOR_ANALYSIS.md","67","â€”","Johnnyboy's is losing consistency with regulars â€” the same failure mode Telepizza's own reviews show (cold food, missing items). Whichever business fixes order-visibility and consistency first has a real, current local edge â€” this isn't hypothetical, it's visible in live reviews right now."
"01-business\COMPETITOR_ANALYSIS.md","75","â€”","- Very high review volume (3,115 Google reviews) â€” strong market reach"
"01-business\COMPETITOR_ANALYSIS.md","96","â€”","- Small review base (24 reviews) â€” limited market presence to judge by"
"01-business\COMPETITOR_ANALYSIS.md","103","â€”","- Telepizza's own foodpanda presence was not found in this research. If Telepizza isn't listed there, that's a real distribution gap â€” customers browsing foodpanda for pizza in Multan won't see Telepizza at all, regardless of food quality. Worth a direct decision in Phase 3: is an aggregator presence part of this platform's scope?"
"01-business\COMPETITOR_ANALYSIS.md","106","â€”","**What was removed:** Pizza Max, Broadway Pizza, Domino's Pakistan, and Pizza Online from the earlier draft â€” kept out because none were verified as operating in or near Royal Orchard/Northern Bypass Road specifically. If any of these do have a relevant nearby branch, that should be confirmed directly rather than assumed."
"01-business\COMPETITOR_ANALYSIS.md","282","Â","Â© 2026 Telepizza Pakistan"
"01-business\DELIVERY_POLICY.md","1","ðŸ","# ðŸšš DELIVERY POLICY"
"01-business\DELIVERY_POLICY.md","105","â€”","ðŸ“‹ **Founder working assumption (Mianx.ai decision, 2026-07-10) â€” not yet validated with Telepizza's actual operations.** Confirm with real Telepizza ownership before this goes live."
"01-business\DELIVERY_POLICY.md","109","â€”","- **Flat-rate delivery fee** within the default radius â€” simplest to implement, easiest for customers to understand, matches how most Multan competitors (per `COMPETITOR_ANALYSIS.md`) appear to operate"
