"RelativePath","Classification","ValidUTF8","UTF8BOM","SuspiciousText","MatchedCodePoints","SizeBytes","Error"
"01-business\BRANCHES.md","VALID_UTF8_CLEAN","True","False","False","","4351",""
"01-business\BUSINESS_MODEL.md","VALID_UTF8_CLEAN","True","False","False","","5683",""
"01-business\BUSINESS_OVERVIEW.md","VALID_UTF8_CLEAN","True","False","False","","5291",""
"01-business\BUSINESS_RULES.md","VALID_UTF8_CLEAN","True","False","False","","10162",""
"01-business\COMPANY_PROFILE.md","VALID_UTF8_CLEAN","True","False","False","","4375",""
"01-business\COMPETITOR_ANALYSIS.md","VALID_UTF8_CLEAN","True","False","False","","6695",""
"01-business\DELIVERY_POLICY.md","VALID_UTF8_CLEAN","True","False","False","","5928",""
"01-business\FRANCHISE_MODEL.md","VALID_UTF8_CLEAN","True","False","False","","5750",""
"01-business\LOYALTY_PROGRAM.md","VALID_UTF8_CLEAN","True","False","False","","6481",""
"01-business\PRICING_STRATEGY.md","VALID_UTF8_CLEAN","True","False","False","","5993",""
"01-business\SWOT_ANALYSIS.md","VALID_UTF8_CLEAN","True","False","False","","5937",""
"01-business\TARGET_AUDIENCE.md","VALID_UTF8_CLEAN","True","False","False","","6656",""
"02-requirements\AI\AI_PLATFORM_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5998",""
"02-requirements\Applications\ADMIN_PANEL_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5986",""
"02-requirements\Applications\KITCHEN_DASHBOARD_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5366",""
"02-requirements\Applications\MOBILE_APP_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5412",""
"02-requirements\Applications\POS_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","6218",""
"02-requirements\Applications\RIDER_APP_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","4536",""
"02-requirements\Applications\WEBSITE_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5129",""
"02-requirements\Business\CRM_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5296",""
"02-requirements\Business\FINANCE_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5807",""
"02-requirements\Business\HR_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5700",""
"02-requirements\Business\REPORTING_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5615",""
"02-requirements\Core\REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5322",""
"02-requirements\Operations\GOODS_RECEIVING_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5433",""
"02-requirements\Operations\INVENTORY_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5560",""
"02-requirements\Operations\ORDER_MANAGEMENT_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","6068",""
"02-requirements\Operations\PURCHASE_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5894",""
"02-requirements\Operations\STOCK_TRANSFER_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5638",""
"02-requirements\Operations\SUPPLIER_MANAGEMENT_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5742",""
"02-requirements\Operations\SUPPLIER_RETURN_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5579",""
"02-requirements\Operations\WAREHOUSE_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5535",""
"02-requirements\Security\API_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5817",""
"02-requirements\Security\AUDIT_LOG_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5663",""
"02-requirements\Security\AUTHENTICATION_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5135",""
"02-requirements\Security\AUTHORIZATION_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5352",""
"02-requirements\Security\BACKUP_DISASTER_RECOVERY_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5834",""
"02-requirements\Security\NOTIFICATION_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5945",""
"02-requirements\Security\PAYMENT_GATEWAY_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5880",""
"02-requirements\Security\SECURITY_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","6155",""
"02-requirements\Security\SETTINGS_REQUIREMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5494",""
"03-architecture\AI_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","5933",""
"03-architecture\API_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","5316",""
"03-architecture\BRANCHING_STRATEGY.md","VALID_UTF8_CLEAN","True","False","False","","4566",""
"03-architecture\CI_CD_PIPELINE.md","VALID_UTF8_CLEAN","True","False","False","","4220",""
"03-architecture\CODING_STANDARDS.md","VALID_UTF8_CLEAN","True","False","False","","4874",""
"03-architecture\DATABASE_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","7397",""
"03-architecture\DATABASE_INDEX_STRATEGY.md","VALID_UTF8_CLEAN","True","False","False","","6096",""
"03-architecture\DATABASE_NAMING_CONVENTIONS.md","VALID_UTF8_CLEAN","True","False","False","","8032",""
"03-architecture\DATABASE_RELATIONSHIPS.md","VALID_UTF8_CLEAN","True","False","False","","16944",""
"03-architecture\DATABASE_SCHEMA.md","VALID_UTF8_CLEAN","True","False","False","","37105",""
