"RelativePath","Issue"
"05-ai-agents\08 Governance Team\01_AI_GOVERNANCE_ARCHITECT.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\02_AI_CONSTITUTION_MANAGER.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\03_AI_POLICY_MANAGER.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\04_AI_APPROVAL_WORKFLOW_MANAGER.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\05_AI_PERMISSION_MANAGER.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\06_AI_RISK_MANAGER.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\07_AI_COMPLIANCE_MANAGER.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\08_AI_AUDIT_MANAGER.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\09_AI_SECURITY_GOVERNANCE_MANAGER.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\10_AI_ETHICS_MANAGER.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\11_AI_DECISION_ENGINE_MANAGER.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\12_AI_ACCESS_CONTROL_MANAGER.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\13_AI_CHANGE_MANAGEMENT_MANAGER.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\14_AI_INCIDENT_RESPONSE_MANAGER.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\15_AI_BUSINESS_CONTINUITY_MANAGER.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\16_AI_GOVERNANCE_PROJECT_MANAGER.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\GOVERNANCE_GUIDE.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\INDEX.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\KPI_FRAMEWORK.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\ORG_CHART.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\README.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\RESPONSIBILITY_MATRIX.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\ROADMAP.md","Folder contains spaces"
"05-ai-agents\08 Governance Team\WORKFLOW_MAP.md","Folder contains spaces"
"05-ai-agents\10-devops-team\7_AI_SITE_RELIABILITY_ENGINEERING_MANAGER.md","Single-digit numeric prefix"
"05-ai-agents\10-devops-team\─09_AI_RELEASE_MANAGER.md","Invalid leading character"
