"RelativePath","Folder","FileName","Extension","SizeBytes","Lines"
"01-business\BRANCHES.md","01-business","BRANCHES.md",".md","4351","283"
"01-business\business-rules.md","01-business","business-rules.md",".md","2366","37"
"01-business\BUSINESS_MODEL.md","01-business","BUSINESS_MODEL.md",".md","5683","351"
"01-business\BUSINESS_OVERVIEW.md","01-business","BUSINESS_OVERVIEW.md",".md","5291","302"
"01-business\BUSINESS_RULES.md","01-business","BUSINESS_RULES.md",".md","5931","461"
"01-business\COMPANY_PROFILE.md","01-business","COMPANY_PROFILE.md",".md","4375","238"
"01-business\COMPETITOR_ANALYSIS.md","01-business","COMPETITOR_ANALYSIS.md",".md","6695","284"
"01-business\DELIVERY_POLICY.md","01-business","DELIVERY_POLICY.md",".md","5928","322"
"01-business\FRANCHISE_MODEL.md","01-business","FRANCHISE_MODEL.md",".md","5750","371"
"01-business\LOYALTY_PROGRAM.md","01-business","LOYALTY_PROGRAM.md",".md","6481","369"
"01-business\PRICING_STRATEGY.md","01-business","PRICING_STRATEGY.md",".md","5993","357"
"01-business\SWOT_ANALYSIS.md","01-business","SWOT_ANALYSIS.md",".md","5937","390"
"01-business\TARGET_AUDIENCE.md","01-business","TARGET_AUDIENCE.md",".md","6656","318"
"02-requirements\AI\AI_PLATFORM_REQUIREMENTS.md","02-requirements\AI","AI_PLATFORM_REQUIREMENTS.md",".md","5998","465"
"02-requirements\Applications\ADMIN_PANEL_REQUIREMENTS.md","02-requirements\Applications","ADMIN_PANEL_REQUIREMENTS.md",".md","5986","421"
"02-requirements\Applications\KITCHEN_DASHBOARD_REQUIREMENTS.md","02-requirements\Applications","KITCHEN_DASHBOARD_REQUIREMENTS.md",".md","5366","372"
"02-requirements\Applications\MOBILE_APP_REQUIREMENTS.md","02-requirements\Applications","MOBILE_APP_REQUIREMENTS.md",".md","5412","381"
"02-requirements\Applications\POS_REQUIREMENTS.md","02-requirements\Applications","POS_REQUIREMENTS.md",".md","6218","417"
"02-requirements\Applications\RIDER_APP_REQUIREMENTS.md","02-requirements\Applications","RIDER_APP_REQUIREMENTS.md",".md","4536","293"
"02-requirements\Applications\WEBSITE_REQUIREMENTS.md","02-requirements\Applications","WEBSITE_REQUIREMENTS.md",".md","5129","402"
"02-requirements\Business\CRM_REQUIREMENTS.md","02-requirements\Business","CRM_REQUIREMENTS.md",".md","5296","346"
"02-requirements\Business\FINANCE_REQUIREMENTS.md","02-requirements\Business","FINANCE_REQUIREMENTS.md",".md","5807","396"
"02-requirements\Business\HR_REQUIREMENTS.md","02-requirements\Business","HR_REQUIREMENTS.md",".md","5700","407"
"02-requirements\Business\REPORTING_REQUIREMENTS.md","02-requirements\Business","REPORTING_REQUIREMENTS.md",".md","5615","401"
"02-requirements\Core\REQUIREMENTS.md","02-requirements\Core","REQUIREMENTS.md",".md","5322","420"
"02-requirements\Operations\GOODS_RECEIVING_REQUIREMENTS.md","02-requirements\Operations","GOODS_RECEIVING_REQUIREMENTS.md",".md","5433","353"
"02-requirements\Operations\INVENTORY_REQUIREMENTS.md","02-requirements\Operations","INVENTORY_REQUIREMENTS.md",".md","5560","401"
"02-requirements\Operations\ORDER_MANAGEMENT_REQUIREMENTS.md","02-requirements\Operations","ORDER_MANAGEMENT_REQUIREMENTS.md",".md","6068","463"
"02-requirements\Operations\PURCHASE_REQUIREMENTS.md","02-requirements\Operations","PURCHASE_REQUIREMENTS.md",".md","5894","403"
"02-requirements\Operations\STOCK_TRANSFER_REQUIREMENTS.md","02-requirements\Operations","STOCK_TRANSFER_REQUIREMENTS.md",".md","5638","402"
"02-requirements\Operations\SUPPLIER_MANAGEMENT_REQUIREMENTS.md","02-requirements\Operations","SUPPLIER_MANAGEMENT_REQUIREMENTS.md",".md","5742","394"
"02-requirements\Operations\SUPPLIER_RETURN_REQUIREMENTS.md","02-requirements\Operations","SUPPLIER_RETURN_REQUIREMENTS.md",".md","5579","374"
"02-requirements\Operations\WAREHOUSE_REQUIREMENTS.md","02-requirements\Operations","WAREHOUSE_REQUIREMENTS.md",".md","5535","433"
"02-requirements\Security\API_REQUIREMENTS.md","02-requirements\Security","API_REQUIREMENTS.md",".md","5817","389"
"02-requirements\Security\AUDIT_LOG_REQUIREMENTS.md","02-requirements\Security","AUDIT_LOG_REQUIREMENTS.md",".md","5663","394"
"02-requirements\Security\AUTHENTICATION_REQUIREMENTS.md","02-requirements\Security","AUTHENTICATION_REQUIREMENTS.md",".md","5135","346"
"02-requirements\Security\AUTHORIZATION_REQUIREMENTS.md","02-requirements\Security","AUTHORIZATION_REQUIREMENTS.md",".md","5352","388"
"02-requirements\Security\BACKUP_DISASTER_RECOVERY_REQUIREMENTS.md","02-requirements\Security","BACKUP_DISASTER_RECOVERY_REQUIREMENTS.md",".md","5834","372"
"02-requirements\Security\NOTIFICATION_REQUIREMENTS.md","02-requirements\Security","NOTIFICATION_REQUIREMENTS.md",".md","5945","384"
"02-requirements\Security\PAYMENT_GATEWAY_REQUIREMENTS.md","02-requirements\Security","PAYMENT_GATEWAY_REQUIREMENTS.md",".md","5880","398"
"02-requirements\Security\SECURITY_REQUIREMENTS.md","02-requirements\Security","SECURITY_REQUIREMENTS.md",".md","6155","390"
