"SourceFile","LineNumber","Link","ResolvedTo","Status"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","23","./DEVELOPMENT_ENVIRONMENT_SETUP.md","D:\projects\telepizza\docs\04-engineering\DEVELOPMENT_ENVIRONMENT_SETUP.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","24","../03-architecture/CODING_STANDARDS.md","D:\projects\telepizza\docs\03-architecture\CODING_STANDARDS.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","25","../03-architecture/GIT_STRATEGY.md","D:\projects\telepizza\docs\03-architecture\GIT_STRATEGY.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","26","./BACKEND_PROJECT_STRUCTURE.md","D:\projects\telepizza\docs\04-engineering\BACKEND_PROJECT_STRUCTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","29","./BACKEND_PROJECT_STRUCTURE.md","D:\projects\telepizza\docs\04-engineering\BACKEND_PROJECT_STRUCTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","30","../03-architecture/API_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\API_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","31","../03-architecture/DATABASE_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\DATABASE_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","32","./CICD_PIPELINE_SETUP.md","D:\projects\telepizza\docs\04-engineering\CICD_PIPELINE_SETUP.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","33","./DATABASE_SETUP_GUIDE.md","D:\projects\telepizza\docs\04-engineering\DATABASE_SETUP_GUIDE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","36","./FRONTEND_PROJECT_STRUCTURE.md","D:\projects\telepizza\docs\04-engineering\FRONTEND_PROJECT_STRUCTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","37","../03-architecture/SYSTEM_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\SYSTEM_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","38","../03-architecture/API_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\API_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","39","../03-architecture/CODING_STANDARDS.md","D:\projects\telepizza\docs\03-architecture\CODING_STANDARDS.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","42","./MOBILE_PROJECT_STRUCTURE.md","D:\projects\telepizza\docs\04-engineering\MOBILE_PROJECT_STRUCTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","43","../03-architecture/SYSTEM_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\SYSTEM_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","44","../03-architecture/API_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\API_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","47","./DOCKER_CONTAINER_SETUP.md","D:\projects\telepizza\docs\04-engineering\DOCKER_CONTAINER_SETUP.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","48","./CICD_PIPELINE_SETUP.md","D:\projects\telepizza\docs\04-engineering\CICD_PIPELINE_SETUP.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","49","../03-architecture/DEPLOYMENT_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\DEPLOYMENT_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","50","../03-architecture/INFRASTRUCTURE_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\INFRASTRUCTURE_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","53","../04-engineering/07-testing/README.md","D:\projects\telepizza\docs\04-engineering\07-testing\README.md","BROKEN"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","54","../02-requirements/Security/API_REQUIREMENTS.md","D:\projects\telepizza\docs\02-requirements\Security\API_REQUIREMENTS.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","55","../03-architecture/DATABASE_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\DATABASE_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","65","./DEVELOPMENT_ENVIRONMENT_SETUP.md","D:\projects\telepizza\docs\04-engineering\DEVELOPMENT_ENVIRONMENT_SETUP.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","66","./DOCKER_CONTAINER_SETUP.md","D:\projects\telepizza\docs\04-engineering\DOCKER_CONTAINER_SETUP.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","67","./DATABASE_SETUP_GUIDE.md","D:\projects\telepizza\docs\04-engineering\DATABASE_SETUP_GUIDE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","68","./PACKAGE_JSON_SCRIPTS.md","D:\projects\telepizza\docs\04-engineering\PACKAGE_JSON_SCRIPTS.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","74","./BACKEND_PROJECT_STRUCTURE.md","D:\projects\telepizza\docs\04-engineering\BACKEND_PROJECT_STRUCTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","75","./FRONTEND_PROJECT_STRUCTURE.md","D:\projects\telepizza\docs\04-engineering\FRONTEND_PROJECT_STRUCTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","76","./MOBILE_PROJECT_STRUCTURE.md","D:\projects\telepizza\docs\04-engineering\MOBILE_PROJECT_STRUCTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","82","./CICD_PIPELINE_SETUP.md","D:\projects\telepizza\docs\04-engineering\CICD_PIPELINE_SETUP.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","83","../03-architecture/DEPLOYMENT_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\DEPLOYMENT_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","84","../03-architecture/INFRASTRUCTURE_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\INFRASTRUCTURE_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","94","../03-architecture/SYSTEM_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\SYSTEM_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","95","../03-architecture/MICROSERVICES_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\MICROSERVICES_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","96","../03-architecture/API_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\API_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","97","../03-architecture/DATABASE_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\DATABASE_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","103","../03-architecture/CODING_STANDARDS.md","D:\projects\telepizza\docs\03-architecture\CODING_STANDARDS.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","104","../03-architecture/GIT_STRATEGY.md","D:\projects\telepizza\docs\03-architecture\GIT_STRATEGY.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","105","../03-architecture/DOMAIN_DRIVEN_DESIGN.md","D:\projects\telepizza\docs\03-architecture\DOMAIN_DRIVEN_DESIGN.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","106","../03-architecture/EVENT_DRIVEN_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\EVENT_DRIVEN_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","112","../03-architecture/TECH_STACK.md","D:\projects\telepizza\docs\03-architecture\TECH_STACK.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","113","../03-architecture/CI_CD_PIPELINE.md","D:\projects\telepizza\docs\03-architecture\CI_CD_PIPELINE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","114","../03-architecture/DEVOPS_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\DEVOPS_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","115","../03-architecture/MONITORING_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\MONITORING_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","125","../02-requirements/Applications/","D:\projects\telepizza\docs\02-requirements\Applications\","VALID"
